,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
2,MDW Pop-Up feat. Elio Stereo,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",25 May 2019,3
3,"Felix Kubin, Twins, Celines & USGS","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",29 May 2019,1
4,EDX,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Jun 2019,1
5,The Gathering - June 2019 Edition,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",1 Jun 2019,1
6,Ritual Night-Streamed Live,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",7 Jun 2019,2
7,Nora EN Pure,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",8 Jun 2019,8
8,Sunday Service 9 Year Anniversary,"<a class=""cat-rev"" href=""/club.aspx?id=150953"" title=""Club profile of Sister Louisa's Church"">Sister Louisa's Church</a>"," 466 Edgewood Ave SE, Atlanta, Georgia 30312",9 Jun 2019,2
9,subtle Odyssey presents ... D-Unity,"<a class=""cat-rev"" href=""/club.aspx?id=113431"" title=""Club profile of Speakeasy Lounge"">Speakeasy Lounge</a>"," 156 Forsyth St SW, Atlanta, GA 30303",14 Jun 2019,3
10,Deorro,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",14 Jun 2019,2
11,The APX - Atlanta Listening Party - Amplified Experiment,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",14 Jun 2019 ,1
12,Alley Cat Music: TIN Man,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",15 Jun 2019,4
13,Deep South with Ladies of LCD Soundsystem,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",15 Jun 2019,5
14,Kudzu X Deep South,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",15 Jun 2019,2
15,Corona Electric Beach with Mr. Carmac,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",15 Jun 2019,1
16,The APX - Atlanta Listening Party - Amplified Experiment,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",14 Jun 2019 ,1
17,Corey Jackson and Laura Indorf Late Night,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",15 Jun 2019,0
18,"Tops After-Party ft Better Person, Taradactyl Divine Interface","<a class=""cat-rev"" href=""/club.aspx?id=164928"" title=""Club profile of Mother"">Mother</a>"," 447 Edgewood Avenue SE, Atlanta, 30312",16 Jun 2019,1
19,Project B. Sunset Rooftop Party,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,22 Jun 2019,24
20,Green Velvet,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",22 Jun 2019,11
0,Deep South Stonewall Pool Party,Altitude Apartments,"250 Piedmont Ave NE, Atlanta, GA 30308, USA",23 Jun 2019,3
1,Chus & Ceballos,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",28 Jun 2019,7
2,Benny Benassi,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Jun 2019,3
3,Private Label: Hannah Wants,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",29 Jun 2019,1
4,[CANCELLED] tINI,TBA - Atlanta,To Be Announced,29 Jun 2019,5
5,Foolish Behaviour 4th of July Pre-Party,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",3 Jul 2019,1
6,Souled Out Party,"<a class=""cat-rev"" href=""/club.aspx?id=166493"" title=""Club profile of Gallery 992"">Gallery 992</a>"," 992 Ralph David Abernathy Blvd, Atlanta, GA 30310, USA",4 Jul 2019,0
7,Proper Taste: Feat. João & Elio Stereo,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",5 Jul 2019,4
8,"Desert Hearts feat. Mikey Lion, Lee Reynolds, & Marbs","<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",6 Jul 2019,1
9,John Digweed,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",12 Jul 2019,25
10,Mr. Carmack: Demolish Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",12 Jul 2019,1
11,Will Clarke,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",13 Jul 2019,2
12,Joyryde presents: Brave World Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",19 Jul 2019,0
13,Shiba San,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",20 Jul 2019,2
14,subtle & Odyssey After presents Layton Giordani,"<a class=""cat-rev"" href=""/club.aspx?id=170812"" title=""Club profile of Odyssey After"">Odyssey After</a>"," 156 Forsyth Street Southwest, Atlanta, Georgia 30303",20 Jul 2019,1
15,Music Room with Stan Zeff Kai Alce,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",20 Jul 2019,1
16,Sweet Spot Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",21 Jul 2019,2
0,Foolish Behaviour with DJ Tracy Levine,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",25 Jul 2019,2
1,Victor Calderone,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",26 Jul 2019,5
2,3LAU,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",26 Jul 2019,3
3,Collision Recordings presents:Ritual Night Techno Live Stream,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",27 Jul 2019,4
4,Agora (ft. Durante),"<a class=""cat-rev"" href=""/club.aspx?id=171918"" title=""Club profile of Georgia Beer Garden"">Georgia Beer Garden</a>"," 420 Edgewood Ave SE, Atlanta, GA 30312, USA",27 Jul 2019,3
5,8yrs of Project B. with Daniel Bell,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,27 Jul 2019,67
6,Prok & Fitch with J.Worra in the Gallery,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",27 Jul 2019,1
7,Amon Tobin presents Two Fingers,"<a class=""cat-rev"" href=""/club.aspx?id=11741"" title=""Club profile of Variety Playhouse"">Variety Playhouse</a>", Atlanta,27 Jul 2019,1
8,Housewerk,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",27 Jul 2019,1
9,Endless Sands Of Time: Philip Chedid (Rooftop Party),"<a class=""cat-rev"" href=""/club.aspx?id=172324"" title=""Club profile of Trium &amp; Roof Garden on Sweet Auburn"">Trium &amp; Roof Garden on Sweet Auburn</a>"," 236 Auburn Ave, NE Atlanta Ga 30303",27 Jul 2019,1
10,Prok - Fitch,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",27 Jul 2019,1
11,Chaka Khan Hacienda,"<a class=""cat-rev"" href=""/club.aspx?id=152191"" title=""Club profile of 8arm"">8arm</a>"," 710 Ponce De Leon Ave NE, Atlanta, GA 30306",28 Jul 2019,0
12,Private Label: Charlotte de Witte,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Aug 2019,11
13,"Proper Taste: Feat. Kai Alce, João & Elio Stereo","<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",2 Aug 2019,3
14,Dom Dolla & Golf Clap presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",3 Aug 2019,4
15,"Mndsgn, Blvck Spvde, Wesdaruler","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Aug 2019,1
16,"808 Fest: Egyptian Lover, Ree De La Vega","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",8 Aug 2019,1
17,Markus Schulz,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",9 Aug 2019,2
18,Proper Taste: João & Elio Stereo All Night Long,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",9 Aug 2019,1
19,Repopulate Mars feat. Lee Foss & Detlef,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",10 Aug 2019,4
20,subtle Block Party & Warehouse Experience,Subtle Warehouse,"760 10th Street Northwest, Atlanta, Georgia 30318",10 Aug 2019,2
21,Yellow Claw,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",15 Aug 2019,3
22,Psycho Disco! 4 Year Anniv.,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",17 Aug 2019,3
23,Moon Boots,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",17 Aug 2019,2
24,Foolish Behaviour with DJ Ramsey K,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",22 Aug 2019,1
0,Bonobo (DJ Set) & Matthew Dear (DJ Set),"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",23 Aug 2019,9
1,"The Field, Anticipation, Soft Talk","<a class=""cat-rev"" href=""/club.aspx?id=25085"" title=""Club profile of Drunken Unicorn"">Drunken Unicorn</a>"," 736 Ponce De Leon, Place Northeast; Atlanta, GA 30306; United States",23 Aug 2019,2
2,Official [Rooftop] Pre-Party: Zemya Fest 2019,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,24 Aug 2019,48
3,Felix Jaehn,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",24 Aug 2019,0
4,A Night with Ron Trent,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",30 Aug 2019,8
5,Distinctive Welcomes Brett Dancer,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",30 Aug 2019,2
6,Laura Indorf and Corey Jackson,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",30 Aug 2019,0
7,People of Earth 4 Year Anniversary feat. Alton Miller,Pal's Lounge,"254 Auburn Ave NE, Atlanta, GA 30303",31 Aug 2019,18
8,The Summit 2019,"<a class=""cat-rev"" href=""/club.aspx?id=173101"" title=""Club profile of Murmur Gallery"">Murmur Gallery</a>", 100 Broad St SW,31 Aug 2019,7
9,Crazy Con: Dragon Con Afterparty,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",31 Aug 2019,4
10,Expressions: The ATL Weekender Edition,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2019,4
11,House In The Park 15 “Official” After Party,"<a class=""cat-rev"" href=""/club.aspx?id=47027"" title=""Club profile of The Basement"">The Basement</a>"," 1245 Glenwood Ave, Atlanta, GA 30316, USA",1 Sep 2019,3
12,Proper Taste: João All Night Long,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",6 Sep 2019,3
13,The APX - Live in Atlanta - Music Room,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",6 Sep 2019,1
14,Umek,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",7 Sep 2019,9
15,Channel Tres,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Sep 2019,2
16,"Transparency Viii: Tito Mazzetta, Komron, Paolo Mentonelli","<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",7 Sep 2019,2
17,November Rose presents: Culture Exchange,W Atlanta Buckhead,"3377 Peachtree Rd NE, Atlanta, GA 30326",8 Sep 2019,1
18,Flying Lotus,"<a class=""cat-rev"" href=""/club.aspx?id=11741"" title=""Club profile of Variety Playhouse"">Variety Playhouse</a>", Atlanta,11 Sep 2019,5
19,CamelPhat: Road To EDC:,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",13 Sep 2019,0
20,Zemya Fest 2019,TBA Atlanta,000 TBA ATL,14 Sep 2019 ,62
21,Inception by Insanus presents,TBA - Atlanta,To Be Announced,14 Sep 2019,15
22,Tito Mazzetta,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",14 Sep 2019,1
23,Zemya Fest 2019,TBA Atlanta,000 TBA ATL,14 Sep 2019 ,62
24,Swank,"<a class=""cat-rev"" href=""/club.aspx?id=173834"" title=""Club profile of Henry's Midtown Tavern"">Henry's Midtown Tavern</a>"," 132 10th St NE, Atlanta, GA 30309, USA",15 Sep 2019,1
25,Imagine Music Festival,Atlanta Motor Speedway,"1500 Tara Pl, Hampton, Georgia 30228",20 Sep 2019 ,5
26,Proper Taste: João & Elio Stereo All Night Long,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",20 Sep 2019,4
27,Kudzu x Underground & Black presents Kyle Hall,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",20 Sep 2019,3
28,Club Soda: Ashley Beedle,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",20 Sep 2019,2
29,Project B. Sunset Rooftop Party,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,21 Sep 2019,10
30,Tambor Party ATL [Sept 21],"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",21 Sep 2019,2
31,Danny Tenaglia,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",21 Sep 2019,6
32,TBC,TBA - Atlanta,To Be Announced,21 Sep 2019,5
33,Imagine Music Festival,Atlanta Motor Speedway,"1500 Tara Pl, Hampton, Georgia 30228",20 Sep 2019 ,5
34,Records with Friends,"<a class=""cat-rev"" href=""/club.aspx?id=171918"" title=""Club profile of Georgia Beer Garden"">Georgia Beer Garden</a>"," 420 Edgewood Ave SE, Atlanta, GA 30312, USA",21 Sep 2019,1
35,Imagine Music Festival,Atlanta Motor Speedway,"1500 Tara Pl, Hampton, Georgia 30228",20 Sep 2019 ,5
0,"*Canceled*Kelly Moran, The Mute Sphere","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",25 Sep 2019,1
1,Foolish Behaviour with Reiche b2b False Peaks,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",26 Sep 2019,1
2,Alley Cat Music with DJ Three,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",27 Sep 2019,2
3,Crazy P (Hot Toddy DJ Set),"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",27 Sep 2019,2
4,Fisher -Outdoor Block Party presented by Catch and Release,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Sep 2019 ,10
5,Fisher -Outdoor Block Party presented by Catch and Release,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Sep 2019 ,10
6,Swank,"<a class=""cat-rev"" href=""/club.aspx?id=173834"" title=""Club profile of Henry's Midtown Tavern"">Henry's Midtown Tavern</a>"," 132 10th St NE, Atlanta, GA 30309, USA",29 Sep 2019,1
7,"Mad Zach, Digital D","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",3 Oct 2019,1
8,Contrastatl: October,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",4 Oct 2019,2
